Дата,Текст,Просмотры
2025-07-28 12:33:06,"Junior аналитик  Компания: Смарт Солюшенс Альянс З/П: не указана Формат работы: Удалённо Источник вакансии: HH  Что вы получите: - Полное погружение в оперативный (торговый) учет в продукте 1С:Управление Торговлей и аналитику на его основе;  -Возможность работы с реальными задачами и практическими кейсами; - Подготовку к сертификации ""1С:Профессионал по 1С:Управление Торговлей"" (оплата экзамена за счет компании);  -Оформление в штат компании на позицию младший аналитик 1С:Управление Торговлей после успешного завершения программы (готовы рассмотреть как частичную, так и полную занятость).  Ваши обязанности во время стажировки: - Обучение аналитике оперативного (торгового) учета в конфигурациях 1С:УТ - Выполнение практических заданий куратора - Подготовка и сдача сертификации ""1С:Профессионал"" (обязательное условие успешного завершения стажировки).  Кого мы ищем: - Наличие высшего образование, или обучение на последних курсах магистратуры (ИТ-специальности, специальности ""Торговое дело"" и ""Экономика торговли"", ""Логистика"" и т.д..); - Опыт работы с 1С на уровне пользователя будет преимуществом; - Знание Excel на среднем уровне (работа с формулами, построение диаграмм и графиков) - обязательно. Ответственных, целеустремленных кандидатов с желанием развиваться в области аналитики.  Мы предлагаем: - Уникальный опыт обучения с реальными задачами; - Поддержку опытного куратора на каждом этапе;  → Откликнуться на вакансию   ———  🫶 Стажировки 🧑‍💻 Джун разработчикам 😶 Джун менеджерам 🐱 Джун маркетологам 💙 Мемы и удаленка 💚 Качнуть карьеру",2052
2025-07-28 08:03:06,"Junior QA Engineer  Компания: Top App Games З/П: не указана Формат работы: Удалённо Источник вакансии: HH  Чем предстоит заниматься: - участвовать в обеспечении качества на всех этапах разработки; - писать и поддерживать актуальность тестовой документации - разрабатывать тест-кейсы и чек-листы; - проводить функциональное и нефункциональное тестирование игровых механик и продукта в целом; - участвовать в планировании нового функционала в проекте, анализировать новую документацию от геймдизайнеров.  Мы ожидаем от тебя: - опыт тестирования мобильных игр (iOS и Android) от 0,5 года; - понимания принципов обеспечения качества в игровом проекте; - умение работать с системами контроля версий (Git); - умение работать с тестовыми инструментарием.  Будет плюсом: - богатый игровой опыт, любовь к геймдеву, желание развиваться в сфере тестирования; - техническое образование.  Мы предлагаем: - возможность работать удаленно из любой точки мира; - высокий уровень заработной платы, определяется по итогам собеседования; - амбициозный проект, интересные и сложные задачи;  → Откликнуться на вакансию   ———  🫶 Стажировки 🧑‍💻 Джун разработчикам 😶 Джун менеджерам 🐱 Джун маркетологам 💙 Мемы и удаленка 💚 Качнуть карьеру",2160
2025-07-25 12:33:01,"Junior project manager  Компания: ВебБустер З/П: не указана Формат работы: Удалённо Источник вакансии: HH  Наши требования: - 100% внимательность, ответственность, исполнительность, пунктуальность; - Хорошие коммуникативные навыки, доброжелательность и интерес к людям и к их бизнесу  -Готовность во всем быстро самостоятельно разбираться и «гуглить» - Активность, инициативность - Желание много работать, быстро учиться и развиваться в digital Методологии, инструментарию, маркетингу итд – научим, главное – мотивация работать, и все вышеперечисленные пункты.  Основные обязанности: На старте: - Помощь в работе текущим аккаунт-менеджерам / руководителям - Коммуникации с клиентами (продажи, маркетинг, продуктологи, ТОП-менеджмент) - Постановка задач исполнителям (продуктологам) и контроль их исполнения (срезы, отчеты) - Актуализация старой клиентской базы и лидов из CRM, формирование предложений и коммуникация с ними - Поиск возможностей роста продаж, предложения и реализация  Далее: - Управление digital-составляющей бизнесов наших клиентов, аналитика, поиск точек роста, повышение результатов и эффективности. Увеличение оборота по клиенту. - Постоянное обучение и повышение собственных скиллов (маркетинг, стратегия, биздев итд)  Мы предлагаем: - Идеальные условия для старта и развития в digital; - Работу напрямую с первыми лицами компании; - Сильную прокачку компетенций по интернет-маркетингу, продажам, бизнес-аналитике, выжимки с MBA; - Работу в крутой, интересной, умной, дружелюбной и быстрорастущей компании;  → Откликнуться на вакансию   ———  🫶 Стажировки 🧑‍💻 Джун разработчикам 😶 Джун менеджерам 🐱 Джун маркетологам 💙 Мемы и удаленка 💚 Качнуть карьеру",2570
2025-07-25 08:03:01,"Junior Frontend-разработчик  Компания: Чиббис З/П: до 100 000₽ Формат работы: Удалённо Источник вакансии: HH  Чем предстоит заниматься: - Поддержкой и усовершенствованием наших внутренних проектов; - Разработкой UI на React.js; - Работой в команде с frontend и backend разработчиками; - Оперативным выполнением поставленных задач.  Наш идеальный кандидат: - Имеет опыт работы frontend-разработчиком от 2 лет; - Знает JavaScript, CSS3, HTML5, React, Redux, RxJs, HTTP, REST, SPA; - Уже получил опыт кроссбраузерной/адаптивной версткой; - Работал с Git, Gitlab, Github.  Мы предлагаем: - Удаленную работу из любой точки мира и свободный гибкий график; - Полностью официальное оформление по ТК РФ или ИП/самозанятости; - Работу в аккредитованной IT-компании; - Покрываем стоимость профильного обучения на 80-100%;  → Откликнуться на вакансию   ———  🫶 Стажировки 🧑‍💻 Джун разработчикам 😶 Джун менеджерам 🐱 Джун маркетологам 💙 Мемы и удаленка 💚 Качнуть карьеру",2442
2025-07-24 12:34:02,"Junior DevOps engineer  Компания: Бизнес Технологии З/П: от 100 000₽ Формат работы: Питер Источник вакансии: HH  Обязанности: - Участие в проектировании и разработки CI/CD инфраструктуры; - Автоматизация процессов сборки и запуска приложений; - Развертка и настройка демонстрационных стендов; - Аудит загруженности оборудования; - Анализ и устранение инцидентов; - Документирование своей работы.  Требования: Администрирование: Astra linux / Debian / Ubuntu. Желательно иметь навыки: - Postgresql; - Zabbix; - Jenkins; - Artifactory; - Gitlab; - VisualSVN Server.  Разработка: Bash, желательно знание Python. Основной стек технологий в компании: - Java, kotlin, scala, sql; - HTML, CSS, JavaScript, TypeScript; - Python; - Linux; - PostgreSQL.  Условия: - Динамично развивающаяся аккредитованная IТ-компания; - Интересные проекты по комплексной автоматизации крупных предприятий с возможностью постоянного роста квалификации; - Офисный формат работы в Санкт-Петербурге, Перми, Нижнем Новгороде, Вологде; - График: 5/2 с 9:00 до 18:00, в Перми с 10:00 до 19:00;  → Откликнуться на вакансию   ———  🫶 Стажировки 🧑‍💻 Джун разработчикам 😶 Джун менеджерам 🐱 Джун маркетологам 💙 Мемы и удаленка 💚 Качнуть карьеру",2432
2025-07-24 08:03:01,"Junior CRM-маркетолог  Компания: Mailfit З/П: от 50 000 до 65 000₽ Формат работы: Удалённо Источник вакансии: HH  Что нужно делать: - Вести 2-3 клиентских проекта с поддержкой наставника и руководителя. - Принимать бриф от заказчика, составлять план работы. - Ставить задачи копирайтерам, дизайнерам, верстальщикам, разработчикам, аналитикам. - Проверять качество работы специалистов на всех этапах, согласовывать задачи с клиентом. - Настраивать кампании: массовые и автоматические рассылки, формы сбора, push-уведомления. Платформы, которые мы используем: Mindbox, Sendsay, Enkod, RetailRocket, Mailganer, Unisender и другие. - Готовить регулярные отчеты и предложения по дальнейшей работе для клиентов. - Общаться с заказчиками в совместных чатах, а также проводить онлайн-встречи с видео.  Что ждем от тебя: - Опыт в сфере маркетинга от 4–6 месяцев. - Знание предметной области: как устроен интернет-маркетинг, email-маркетинг. - Высокий уровень грамотности в русском языке. Умение грамотно изложить свои мысли как устно, так и письменно. - Высокий уровень ответственности за свою работу. Внимательность к деталям. - Дисциплина, умение управлять своим временем, пунктуальность. - Умение работать в плотной загрузке. - Наличие компьютера/ноутбука со стабильным интернетом. - Возможность работать 8 часов в день, не совмещая работу с учебой.  Что от нас: - Оклад от 50 000 до 65 000 на руки, точную сумму определяем после собеседования.  → Откликнуться на вакансию   ———  🫶 Стажировки 🧑‍💻 Джун разработчикам 😶 Джун менеджерам 🐱 Джун маркетологам 💙 Мемы и удаленка 💚 Качнуть карьеру",2230
2025-07-23 16:03:01,"Junior recruiter  Компания: НАЛАНЧ З/П: от 40 000₽ Формат работы: Удалённо Источник вакансии: HH  Твои задачи: - Ресечинг (Активный поиск и привлечение кандидатов через различные каналы поиска); - Первичное общение с кандидатами; - Ведение базы данных кандидатов и актуализация информации (у нас CRM Хантфлоу); - Ведение части HR задач (подключение ДМС, отпусков, day off и тд); - Помощь в организации корпоративов; - Поддержка офиса (заказ фруктов, пиццы и других вкусняшек).  Требования: - Отличные коммуникативные навыки и критическое мышление; - Умение работать в команде и нацеленность на результат; - Высшее образование или студенты последних курсов; - Желание развиваться в IT сфере в роли HR/IT рекрутера и готовность обучаться; - Будет здорово, если ты проход(а) курсы по IT подбору  Условия: - Работу в стабильной IT-компании с социально значимым продуктом; - Трудоустройство по ТК РФ (мы — аккредитованная IT-компания) - Гибкий график по 4 часа в день (у нас гибрид) - Компенсация питания, ДМС (включая стоматологию), страхование на время отпуска; - Дружный коллектив;  → Откликнуться на вакансию   ———  🫶 Стажировки 🧑‍💻 Джун разработчикам 😶 Джун менеджерам 🐱 Джун маркетологам 💙 Мемы и удаленка 💚 Качнуть карьеру",2312
2025-07-23 12:33:06,"Junior дизайнер  Компания: FunFlow З/П: от 70 000 до 120000₽ Формат работы: Москва Источник вакансии: HH  Задачи, которые вас ждут: - Генерация новых идей совместно с продактом и дизайн лидом, тестирование гипотез, а затем превращение их в качественные дизайн-решения; - Работа с геймификацией и эмоциональным дизайном; - Прототипирование своих решений; - Участие в А/Б тестированиях; - Поддержка дизайн-системы и UI-кита.  Мы ждем, что вы: - Имеете актуальное портфолио; - Внимательны к деталям, шрифту и форме; - Можете логично и последовательно рассказать о проделанной работе; - Способны слушать и слышать очень разных людей; - Хотите расти и развиваться в большом проекте; - Готовы к приключениям вместе с нами.  Будет плюсом: - Наличие опыта в продуктовой команде.  Мы предлагаем: - Официальное оформление; - Гибкое время начала рабочего дня с 9:00 до 11:00; - Просторный офис в центре Москвы;  → Откликнуться на вакансию   ———  🫶 Стажировки 🧑‍💻 Джун разработчикам 😶 Джун менеджерам 🐱 Джун маркетологам 💙 Мемы и удаленка 💚 Качнуть карьеру",2335
2025-07-23 08:03:06,"Junior аналитик  Компания: ABCP З/П: от 170 000₽ Формат работы: Удалённо Источник вакансии: HH  Обязанности: - Интервьюировать заказчиков/пользователей, выявлять и собирать требования; - Прорабатывать варианты оптимизации текущего функционала и предлагать решения возникающих проблем; - Анализировать и документировать требования; - Планировать RoadMap и вести бэклог; - Выступать связующим звеном между разработкой и Заказчиком со всеми вытекающими; - Прототипировать интерфейсы и проектировать бизнес-процессы; - Тестировать и внедрять результаты разработки.  Требования: - Опыт работы в качестве системного аналитика не менее 1 года; - Знание архитектурных подходов для проектирования высоконагруженных автоматизированных систем; - Представление о форматах данных, применяемых в веб: XML, HTML, JSON, WSDL; - Внимательность, и поэтому в сопроводительном письме вы напишете слово ""ping""; - Понимание способов взаимодействия браузера и сервера: куки, сессии, HTTP, AJAX, сокеты; - Знания в области технологий: REST, SOAP, SQL, шифрование, балансировка нагрузки; - Примеры самостоятельно разработанных ТЗ, алгоритмов, интерфейсов; - Высокая коммуникабельность.  Плюсы работы у нас: - Почему вам может понравиться работать с нами: - Начали в 2005 году, и более 10 лет являемся примером для конкурентов. ABCP — это синоним доверия и качества среди всех участников рынка автозапчастей, потому что мы создаем надежные инструменты для эффективного развития их бизнеса.  → Откликнуться на вакансию   ———  🫶 Стажировки 🧑‍💻 Джун разработчикам 😶 Джун менеджерам 🐱 Джун маркетологам 💙 Мемы и удаленка 💚 Качнуть карьеру",2386
2025-07-22 12:33:06,"Junior тестировщик  Компания: РУССКАЯ МОРСКАЯ КОМАНДА З/П: не указана Формат работы: Удалённо Источник вакансии: HH  Обязанности: - Анализ технической документации, формирование тестовой документации для проверки разрабатываемого ПО; - Проверка разрабатываемого ПО; - Работа с баг-трекинговой системой (описание и проверка исправлений ошибок); - Формирование отчетов по итогам тестирования;  Требования: - Высшее образование; - Знание методик и основных видов тестирования; - Опыт тестирования web-приложений; - Умение составлять грамотную и понятную тестовую документацию, описания дефектов; - Опыт работы с багтрекинговыми системами; - Коммуникабельность, внимательность к деталям, умение четко излагать свои мысли;  Условия: - Размер заработной платы определяется по результатам собеседования - Оформление по ТК РФ, полис ДМС со стоматологией, компенсация питания, спорт, корпоративные мероприятия - График работы с 9:00 до 18:00  → Откликнуться на вакансию   ———  🫶 Стажировки 🧑‍💻 Джун разработчикам 😶 Джун менеджерам 🐱 Джун маркетологам 💙 Мемы и удаленка 💚 Качнуть карьеру",2415
2025-07-22 08:03:06,"Junior project manager  Компания: Go Offer З/П: от 500 до 800$ Формат работы: Удалённо Источник вакансии: HH  Что предстоит делать: - Управление командой: контроль работы ассистентов, назначение задач, подбор замен - Онборд инг: обучение новых сотрудников, разработка инструкций и системы мотивации - Контроль качества: проверка первых подач, анализ результатов работы - Администрирование: управление доступами к системам, работа с документацией - Аналитика: сбор статистики, формирование отчётов, оптимизация расходов - Развитие продукта: работа с Go Offer HUB, тестирование функционала - Клиентский сервис: обработка обратной связи, решение возникающих вопросов  Мы ищем человека, который: - Имеет опыт управления командой от 25 человек - Имеет опыт работы в Edtech - Владеет английским языком на среднем уровне - Уверенно владеет Excel - Умеет работать с искусственным интеллектом - Имеет аналитическое мышление и умеет ставить задачи - Знает, как устроен LinkedIn в качестве преимущества  Мы предлагаем: - Международный опыт работы в динамично развивающейся команде - Гибкий график: работа удалённо, время активности с 17:00 до 23:00 по МСК  → Откликнуться на вакансию   ———  🫶 Стажировки 🧑‍💻 Джун разработчикам 😶 Джун менеджерам 🐱 Джун маркетологам 💙 Мемы и удаленка 💚 Качнуть карьеру",2384
2025-07-21 13:15:55,"👀 Коллеги-дизайнеры! Недавно мы запустили новый канал с вакансиями для UX, product, motion и graphic дизайнеров.  Что вы получите? ✨ 50–70 свежих вакансий в месяц, которых нет на vseti.app, HH и часто в других телеграм каналах ✨ Работу в компаниях типа InDrive, Авиасейлс, Prequel, Tabby, 2ГИС, Циан, Юрент, Flo, Revolut, Skyeng, Miro и др. ✨ В основном удалёнка, как в РФ, так и за рубежом ✨ 100% вакансии с русскоговорящими командами и фаундерами ✨ Ссылки на рефералов и мини-гайд, как получить отклик быстрее  ❤️ Цена — 399 рублей в месяц.  Как оплатить? Оплата через @tribute — верифицированный сервис от Telegram. Принимаем российские и зарубежные карты. Отмена подписки — пара кликов.  🚩 Подписчики наших каналов уже получали офферы в Prequel, Skyeng, Semrush, TripleTen, Revolut и др. Этот канал — продолжение проекта Vseti.app и нашей сети каналов с IT-вакансиями.   ПОДПИСАТЬСЯ НА КАНАЛ",2326
2025-07-21 12:33:01,"Junior GO разработчик  Компания: ABCP З/П: от 400 000₽ Формат работы: Удалённо Источник вакансии: HH  От Вас как кандидата требуется: - Опыт управления командой от 2 человек (junior/middle, QA) от 2 лет; - Опыт в разработке от 4 лет; - Golang, sql, git, брокеры - уровень middle+ и выше; - Знание цикла разработки; - Быть внимательным и поэтому в сопроводительном письме Вы напишете слово ""ping""; - Опыт с Linux, Docker, CI/CD; - Умение проектировать по C4-модели.  Плюсы работы у нас: - Почему вам может понравиться работать с нами: - Начали в 2005 году, и более 10 лет являемся примером для конкурентов. ABCP — это синоним доверия и качества среди всех участников рынка автозапчастей, потому что мы создаем надежные инструменты для эффективного развития их бизнеса. Из-за предыдущих пунктов наших сотрудников активно хантят более известные IT-компании, но сотрудники не всегда уходят, потому что им нравится, что у нас: - все работают над созданием реального и востребованного продукта, а не совещаются; - есть возможность развивать hard и soft-скиллы и сменить стек при желании; - компанией и командами руководят адекватные айтишники, а не эффективные менеджеры; - нет “звезд” (хотя есть таланты) и все общаются со всеми;  → Откликнуться на вакансию   ———  🫶 Стажировки 🧑‍💻 Джун разработчикам 😶 Джун менеджерам 🐱 Джун маркетологам 💙 Мемы и удаленка 💚 Качнуть карьеру",2247
2025-07-21 08:03:01,Junior DevOps engineer  Компания: MiOps З/П: от 90 000₽ Формат работы: Удалённо Источник вакансии: HH  Требования: - Уверенное владение Linux (консоль). - Базовое понимание принципов работы сети. - Опыт работы с Git. - Опыт работы с Docker и docker-compose. - Понимание принципов CI/CD и опыт написания пайплайнов.  Будет плюсом: - Опыт работы с Ansible. - Опыт работы с Terraform. - Опыт работы с Kubernetes (k8s).  Условия: - Работа в аккредитованной IT-компании - Оформление по Трудовому кодексу РФ. - Зарплата от 90 000₽/на руки после прохождения испытательного срока - График работы: 5/2. - Полностью удаленная работа. - Обширный технический стек.  → Откликнуться на вакансию   ———  🫶 Стажировки 🧑‍💻 Джун разработчикам 😶 Джун менеджерам 🐱 Джун маркетологам 💙 Мемы и удаленка 💚 Качнуть карьеру,2397
2025-07-18 14:03:01,"Такой выпускной точно запомнится!   Х5 приглашает на Летоуин — секретный праздник для выпускников вузов в духе Киотского университета, где вместо мантии — креативный костюм и яркая программа.  Что вас ждет? — Костюм-шоу, DJ-сеты и сюрпризы для участников.  — Современная площадка, идеальная для общения и новых знакомств. — Фотобудка, автоматы с вакансиями, карьерное таро и многое другое.  Когда и где?  26 июля в Парке Горького, «Х5 Сфера».   Вход свободный — но только в костюме! Регистрируйтесь и отпразднуйте выпуск вместе с Х5: https://u.to/qSxQIg",2791
2025-07-18 12:33:01,"Junior CRM - маркетолог  Компания: МЭО З/П: от 70 000 до 80 000₽ Формат работы: Удалённо Источник вакансии: HH  Чем предстоит заниматься: - Создание и запуск email-рассылок (триггерные механики, промо) под руководством старших коллег. - Планирование контента: формирование медиаплана на месяц, постановка ТЗ копирайтерам и дизайнерам. - Работа с сегментами аудитории и анализ ключевых показателей. - Умение работать с отчетам эффективности показателей и делать выводы по результатам. - Поиск способов оптимизации рассылок и тестирование гипотез.  Что важно для нас: - Опыт в email-маркетинге от 1 года, включая работу с Mindbox или другими CDP-системами. - Базовые навыки HTML/CSS (правка шаблонов, верстка в конструкторах). - Умение анализировать данные: сегментация, работа с Excel/Google Таблицами. - Внимание к деталям (кросс-клиентность писем, тестирование перед отправкой). - Желание учиться: отслеживать email-тренды, вдохновляться кейсами и искать пути оптимизации. Почему у нас круто: - Амбициозные задачи и кейсы, которыми можно гордиться. - Обучение и поддержка от опытных коллег.  → Откликнуться на вакансию   ———  🫶 Стажировки 🧑‍💻 Джун разработчикам 😶 Джун менеджерам 🐱 Джун маркетологам 💙 Мемы и удаленка 💚 Качнуть карьеру",2567
2025-07-18 08:03:01,"Junior рекрутер  Компания: Heaad З/П: от 60 000₽  Формат работы: Удалённо Источник вакансии: HH  Мы предлагаем: - Никаких офисов и гибридов, онли удалёнка; - Гибкое начало рабочего дня с 09:00 до 11:00; - Fix 25 000 р. + достойное бонусное вознаграждение; - Онбординг и плавное погружение в работу; - Ментор на время испытательного срока; - Доступы на job сайты без ограничений: - Максимально вайбовый коллектив и адекватное руководство. - Большая свобода и ответственность в работе.  Чем предстоит заниматься: - Активный поиск кандидатов с использованием источников: HH, Linkedin, Potoк, Habr, мессенджеры;  - Проводить первичное интервью и оценивать кандидатов (soft и hard skills);  - Направлять резюме с сопроводительным письмом;  - Вести отчётность по процессу подбора.  Наши пожелания:  - Желание учиться и развиваться в сфере IT рекрутинга  → Откликнуться на вакансию   ———  🫶 Стажировки 🧑‍💻 Джун разработчикам 😶 Джун менеджерам 🐱 Джун маркетологам 💙 Мемы и удаленка 💚 Качнуть карьеру",2439
2025-07-17 12:33:06,"Junior Game Designer  Компания: Gear Games З/П: не указана Формат работы: Удалённо Источник вакансии: HH  Основные направления работы: - Развитие и поддержка игровой экономики: задания, награды, боевой пропуск и т.д. - Разработка и настройка боевого баланса: юниты, герои, экипировка и т.д. - Анализ игровых данных и статистики для улучшения игрового опыта и основных метрик проекта - Взаимодействие с командой разработчиков, художников и аналитиков для внедрения и тестирования изменений - Проведение плейтестов новых механик и сбор фидбека  Мы ждем: - Уверенные знания математики и мат.статистики - Уверенные навыки работы с Google Sheets - Большой игровой опыт на мобильных платформах - Большой игровой опыт в RTS и понимание жанра - Высшее или неполное высшее образование (предпочтительно математическое/техническое) - Понимание основ проектирования игровых механик  Будет плюсом: - Понимание экономики и монетизации мобильных игр - Понимание работы с аналитикой  Мы предлагаем: - Гибкий старт рабочего дня (9-10 по МСК), возможность удаленной работы, включая зарубежные страны - Система наставничества: ежемесячные встречи 1 на 1 с ментором для обсуждения карты развития - Уроки английского дважды в неделю с оплатой 50% занятий (после испытательного срока) - Оплата 50% годового абонемента в спортзал или другого спортивного курса после испытательного срока - 3 офиса в России (Москва, Кострома, Курск)  → Откликнуться на вакансию   ———  🫶 Стажировки 🧑‍💻 Джун разработчикам 😶 Джун менеджерам 🐱 Джун маркетологам 💙 Мемы и удаленка 💚 Качнуть карьеру",2436
2025-07-17 08:03:06,"Junior аналитик  Компания: ABCP З/П: от 170 000₽ Формат работы: Удалённо Источник вакансии: HH  Обязанности: - Интервьюировать заказчиков/пользователей, выявлять и собирать требования; - Прорабатывать варианты оптимизации текущего функционала и предлагать решения возникающих проблем; - Анализировать и документировать требования; - Планировать RoadMap и вести бэклог; - Выступать связующим звеном между разработкой и Заказчиком со всеми вытекающими; - Прототипировать интерфейсы и проектировать бизнес-процессы; - Тестировать и внедрять результаты разработки.  Требования: - Опыт работы в качестве системного аналитика не менее 1 года; - Знание архитектурных подходов для проектирования высоконагруженных автоматизированных систем; - Представление о форматах данных, применяемых в веб: XML, HTML, JSON, WSDL; - Внимательность, и поэтому в сопроводительном письме вы напишете слово ""ping""; - Понимание способов взаимодействия браузера и сервера: куки, сессии, HTTP, AJAX, сокеты; - Знания в области технологий: REST, SOAP, SQL, шифрование, балансировка нагрузки; - Примеры самостоятельно разработанных ТЗ, алгоритмов, интерфейсов; - Высокая коммуникабельность.  Плюсы работы у нас: - Почему вам может понравиться работать с нами: - Начали в 2005 году, и более 10 лет являемся примером для конкурентов. ABCP — это синоним доверия и качества среди всех участников рынка автозапчастей, потому что мы создаем надежные инструменты для эффективного развития их бизнеса.  → Откликнуться на вакансию   ———  🫶 Стажировки 🧑‍💻 Джун разработчикам 😶 Джун менеджерам 🐱 Джун маркетологам 💙 Мемы и удаленка 💚 Качнуть карьеру",2351
2025-07-16 13:30:57,"🎓 Получи востребованную IT-профессию с высокой З/П и рядом льгот без отрыва от привычной жизни.  Приглашаем вас в онлайн-магистратуру от ТГУ, который входит в 100 сильнейших вузов мира и Топ-7 РФ;  Узнайте подробнее и подайте заявку: https://tglink.io/9ab84a31459b?erid=2W5zFJkNBP6  Преимущества онлайн-обучения в ТГУ: 🔸 Расписание: 20-30 часов в неделю; 🔸 Все преимущества и льготы очного обучения; 🔸 Прохождение практики у лидеров рынка и доступ к суперкомпьютеру CYBERIA для своих проектов; 🔸  Более 100 000 учеников обучились у нас! 97% нашли работу во время обучения.  Формат: Онлайн Формат обучения: Очный  Количество мест ограничено!  Подписывайтесь на наш телеграм и следите за новостями @tsuproject",2499
2025-07-16 12:33:06,"Junior тестировщик  Компания: РУССКАЯ МОРСКАЯ КОМАНДА З/П: не указана Формат работы: Удалённо Источник вакансии: HH  Обязанности: - Анализ технической документации, формирование тестовой документации для проверки разрабатываемого ПО; - Проверка разрабатываемого ПО; - Работа с баг-трекинговой системой (описание и проверка исправлений ошибок); - Формирование отчетов по итогам тестирования;  Требования: - Высшее образование; - Знание методик и основных видов тестирования; - Опыт тестирования web-приложений; - Умение составлять грамотную и понятную тестовую документацию, описания дефектов; - Опыт работы с багтрекинговыми системами; - Коммуникабельность, внимательность к деталям, умение четко излагать свои мысли;  Условия: - Размер заработной платы определяется по результатам собеседования - Оформление по ТК РФ, полис ДМС со стоматологией, компенсация питания, спорт, корпоративные мероприятия - График работы с 9:00 до 18:00  → Откликнуться на вакансию   ———  🫶 Стажировки 🧑‍💻 Джун разработчикам 😶 Джун менеджерам 🐱 Джун маркетологам 💙 Мемы и удаленка 💚 Качнуть карьеру",2435
